iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
CHN,gadm_CHN.23.12_1,11926031.3902,10725230.2994,1200801.0908,0.8993126001842712,20.198129971958107,260,1.055202015940655,126,2025-07-31T00:00:00
IRN,ghs-fua_3677,6060610.0618,5986982.3252,73627.7366,0.9878514314814484,20.188680686796282,261,0.9460306073303514,34,2025-07-31T00:00:00
CHN,gadm_CHN.14.6_1,8665243.2634,8141768.5896,523474.67379999976,0.9395891542928706,20.188248053016277,262,1.0407886073666066,163,2025-07-31T00:00:00
USA,ghs-fua_6948,36464066.754,27845148.4542,8618918.2998,0.7636325548122103,20.16603427249675,263,1.0168080471545131,12,2025-07-31T00:00:00
CHN,gadm_CHN.8.3_1,9319198.938599998,8645252.416599998,673946.522,0.9276819256203962,20.165545172425112,264,1.0428288401989714,159,2025-07-31T00:00:00
CHN,ghs-fua_9963,24431807.149,19753679.3742,4678127.774799999,0.8085230557743873,20.16044126414169,265,1.0824948779000227,76,2025-07-31T00:00:00
CHN,gadm_CHN.5.2_1,7190738.79,6911220.5476,279518.24239999993,0.9611280216729998,20.156562419786255,266,1.0307924687104069,179,2025-07-31T00:00:00
JPN,gadm_JPN.12.123_1,8900056.247,8301679.484599999,598376.7624000001,0.9327670808146074,20.15653945932955,267,1.0739500305839473,6,2025-07-31T00:00:00
DEU,ghs-fua_4946,32894460.259400003,25465372.189000003,7429088.070400001,0.7741538237193892,20.15598151602108,268,1.1154142191168488,2,2025-07-31T00:00:00
CHN,gadm_CHN.26.10_1,8466879.673399998,7948805.792799997,518073.88060000015,0.9388117109745152,20.151541198726875,269,1.0378688532266467,168,2025-07-31T00:00:00
CHN,gadm_CHN.25.8_1,12328083.7338,10975620.0696,1352463.6642000002,0.8902940884079218,20.15088093085244,270,1.0541424653868243,127,2025-07-31T00:00:00
CHN,gadm_CHN.18.5_1,7281502.215000002,6981558.919400002,299943.29559999995,0.9588074978564022,20.150576373554813,271,1.0310547281254314,178,2025-07-31T00:00:00
TKM,gadm_TKM.5.12_1,5925497.280799999,5847550.941399999,77946.33939999998,0.9868456037179252,20.15012402846994,272,1.1529623057967364,3,2025-07-31T00:00:00
JPN,gadm_JPN.19.29_1,14121846.2372,12324251.631600002,1797594.6055999994,0.8727082439925775,20.14482333819486,273,1.073325790065067,7,2025-07-31T00:00:00
CHN,gadm_CHN.10.6_1,11514492.966399996,10337072.227999998,1177420.7384,0.8977444563268409,20.139301370106583,274,1.0506310832027743,135,2025-07-31T00:00:00
USA,gadm_USA.5.37_1,23155373.428800005,18812382.885200005,4342990.543600001,0.812441351595811,20.136716517066212,275,0.9988731204618785,18,2025-07-31T00:00:00
ITA,ghs-fua_4333,13952766.5452,12184968.9032,1767797.6419999995,0.8733012814144624,20.1359382714613,276,0.9871767062901788,4,2025-07-31T00:00:00
CHL,ghs-fua_2072,13446867.637799997,11804826.859199995,1642040.7786,0.87788674486658,20.135894869766034,277,1.226732046919948,1,2025-07-31T00:00:00
IRN,gadm_IRN.22.1_1,9522443.619400002,8774558.023600003,747885.5958000002,0.9214607483444336,20.132674827481612,278,0.9653013498199375,23,2025-07-31T00:00:00
JOR,ghs-fua_567,7314444.535600001,6990767.482200001,323677.05340000003,0.9557482387316444,20.127321270623032,279,1.2734489432389866,1,2025-07-31T00:00:00
USA,ghs-fua_7347,23413686.50920001,18941770.52520001,4471915.984,0.8090041915337494,20.11489535234363,280,0.9982027840543903,19,2025-07-31T00:00:00
CHN,gadm_CHN.28.10_1,5748758.695600002,5674638.969800002,74119.7258,0.9871068295392657,20.11343767984999,281,1.018310419121032,203,2025-07-31T00:00:00
USA,ghs-fua_6237,17840252.344199993,15003461.513999991,2836790.8301999997,0.8409893102704759,20.113060423740954,282,0.9878563060014681,23,2025-07-31T00:00:00
CHN,ghs-fua_5723,16162819.2158,13775769.2084,2387050.0074000005,0.8523122745154178,20.10687896847569,283,1.0631132762166648,111,2025-07-31T00:00:00
EGY,ghs-fua_4710,5562564.724600002,5509291.788200002,53272.936400000006,0.9904229543317664,20.10179309412428,284,1.1967945293072504,2,2025-07-31T00:00:00
USA,ghs-fua_2204,22620203.7712,18340819.672799997,4279384.0984000005,0.810815846679131,20.092433442313606,285,0.9958070821618981,22,2025-07-31T00:00:00
CHN,gadm_CHN.18.8_1,6969201.404800001,6678774.5502,290426.8546,0.9583270969325164,20.09013050285669,286,1.0259774943151958,186,2025-07-31T00:00:00
CHN,gadm_CHN.22.4_1,5793152.635000001,5697312.579600001,95840.0554,0.9834563213782818,20.089270823709356,287,1.0174445877344391,206,2025-07-31T00:00:00
CHN,gadm_CHN.30.9_1,5553615.5784,5493269.0988,60346.479599999984,0.9891338392533487,20.087697257564606,288,1.0153971744709938,211,2025-07-31T00:00:00
CHN,gadm_CHN.30.1_1,5648686.871399999,5573661.251199999,75025.62019999999,0.9867180422799032,20.087117762529857,289,1.0161600964039512,210,2025-07-31T00:00:00
USA,gadm_USA.5.19_1,65164532.56520001,45188107.80780001,19976424.7574,0.6934463584556109,20.08076747901433,290,1.032284265899542,8,2025-07-31T00:00:00
TKM,gadm_TKM.5.1_1,5556582.616799999,5489637.662399999,66944.9544,0.9879521355090454,20.077376653490443,291,1.14641429328178,4,2025-07-31T00:00:00
CHN,gadm_CHN.28.15_1,9795725.345599998,8934058.664399998,861666.6811999999,0.912036459700553,20.07710021781947,292,1.0404293840205239,164,2025-07-31T00:00:00
BGD,ghs-fua_3705,8283360.967400001,7734791.179800001,548569.7875999999,0.9337744920499116,20.07571347446207,293,1.2602646952299468,1,2025-07-31T00:00:00
UZB,gadm_UZB.13.1_1,10938761.243599996,9818566.239599995,1120195.004,0.8975939798799979,20.074302968822824,294,1.185778312193328,3,2025-07-31T00:00:00
UZB,ghs-fua_1981,5825274.7562,5713628.6466,111646.1096,0.9808341899270636,20.071896227296403,295,1.175712080640347,4,2025-07-31T00:00:00
CHN,gadm_CHN.6.5_1,6965156.9206,6659925.8637999995,305231.0568,0.9561774328590852,20.06906774091961,296,1.0248755213144782,190,2025-07-31T00:00:00
IRN,gadm_IRN.10.3_1,5905798.908400004,5777059.903800004,128739.0046,0.9782012549704512,20.064954733183477,297,0.938944928264621,35,2025-07-31T00:00:00
CHN,gadm_CHN.12.10_1,8281714.181000002,7723063.483600002,558650.6974,0.9325440741867592,20.063702891122674,298,1.0323654361132817,175,2025-07-31T00:00:00
AZE,gadm_AZE.1.2_1,9791140.3876,8915911.2674,875229.1202,0.9106100938652216,20.062740193514706,299,1.2317274313610278,1,2025-07-31T00:00:00
CHN,gadm_CHN.11.6_1,8972731.5952,8267458.203800001,705273.3913999998,0.9213981401408142,20.0575757158546,300,1.0355860616047743,171,2025-07-31T00:00:00
CHN,gadm_CHN.14.9_1,6058888.531400001,5898489.131600001,160399.3998,0.9735265966738396,20.054086551218496,301,1.0177374195300386,204,2025-07-31T00:00:00
IRQ,gadm_IRQ.10.1_1,6785306.644200005,6498492.843200005,286813.801,0.9577301637140948,20.050401682196576,302,1.2302063836726458,2,2025-07-31T00:00:00
CHN,gadm_CHN.13.17_1,10119906.554,9158292.8372,961613.7167999998,0.9049780043255524,20.049395878558013,303,1.040404055095314,165,2025-07-31T00:00:00
