iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
AUS,ghs-fua_1830,10969290.0682,1,2025-07-31 00:00:00
CHN,gadm_CHN.26.9_1,10857499.977,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.1_1,10818652.648,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.5_1,10793816.4186,1,2025-07-31 00:00:00
USA,gadm_USA.44.220_1,10782475.422599997,1,2025-07-31 00:00:00
IRN,gadm_IRN.2.1_1,10779591.7556,1,2025-07-31 00:00:00
IRN,ghs-fua_4397,10743696.5036,1,2025-07-31 00:00:00
JPN,ghs-fua_708,10740697.376,1,2025-07-31 00:00:00
CHN,gadm_CHN.26.3_1,10730798.1064,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.12_1,10725230.2994,1,2025-07-31 00:00:00
KOR,ghs-fua_2453,10692259.0576,1,2025-07-31 00:00:00
USA,ghs-fua_6769,10670711.7132,1,2025-07-31 00:00:00
CHN,ghs-fua_8189,10652150.312400002,1,2025-07-31 00:00:00
CHN,ghs-fua_8332,10639489.2724,1,2025-07-31 00:00:00
POL,ghs-fua_2663,10639332.901000002,1,2025-07-31 00:00:00
USA,gadm_USA.23.86_1,10631579.169799997,1,2025-07-31 00:00:00
HUN,ghs-fua_964,10623483.3712,1,2025-07-31 00:00:00
KAZ,ghs-fua_1510,10608463.637800002,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.3_1,10579525.0644,1,2025-07-31 00:00:00
USA,ghs-fua_7312,10539945.8064,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.11_1,10494023.924999999,1,2025-07-31 00:00:00
IRN,gadm_IRN.24.14_1,10483895.456200002,1,2025-07-31 00:00:00
IRN,gadm_IRN.24.12_1,10418369.377999999,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.9_1,10367996.842199998,1,2025-07-31 00:00:00
JPN,ghs-fua_266,10338591.636,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.6_1,10337072.227999998,1,2025-07-31 00:00:00
IRN,gadm_IRN.19.1_1,10310639.263799999,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.5_1,10301367.226400001,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.6_1,10291680.944600001,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.13_1,10272234.073199997,1,2025-07-31 00:00:00
CHN,gadm_CHN.16.5_1,10228105.620399999,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.16_1,10210102.787200002,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.3_1,10190752.433400001,1,2025-07-31 00:00:00
COL,ghs-fua_4048,10172027.5882,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.5_1,10159757.856400004,1,2025-07-31 00:00:00
CHN,gadm_CHN.25.6_1,10143358.7056,1,2025-07-31 00:00:00
CHN,gadm_CHN.7.14_1,10105866.395200001,1,2025-07-31 00:00:00
AZE,ghs-fua_1744,10055470.856,1,2025-07-31 00:00:00
PAK,ghs-fua_6458,10049829.773199996,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.9_1,10041381.5994,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.3_1,10038809.51,1,2025-07-31 00:00:00
RUS,ghs-fua_5972,10019180.187199999,1,2025-07-31 00:00:00
CHN,gadm_CHN.30.6_1,9978858.2496,1,2025-07-31 00:00:00
USA,gadm_USA.5.43_1,9912413.2936,1,2025-07-31 00:00:00
CHN,gadm_CHN.7.6_1,9880657.566600002,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.16_1,9820352.392399998,1,2025-07-31 00:00:00
UZB,gadm_UZB.13.1_1,9818566.239599997,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.17_1,9809571.472,1,2025-07-31 00:00:00
CHN,gadm_CHN.19.8_1,9773212.198199997,1,2025-07-31 00:00:00
CAN,ghs-fua_3343,9715768.776,1,2025-07-31 00:00:00
USA,gadm_USA.5.34_1,9678817.0764,1,2025-07-31 00:00:00
IRN,gadm_IRN.28.2_1,9658862.973199999,1,2025-07-31 00:00:00
USA,gadm_USA.33.53_1,9626837.010599999,1,2025-07-31 00:00:00
ZAF,gadm_ZAF.3.1_1,9593607.8506,1,2025-07-31 00:00:00
FRA,gadm_FRA.7.2_1,9535631.864399998,1,2025-07-31 00:00:00
CHN,gadm_CHN.16.6_1,9527705.5186,1,2025-07-31 00:00:00
CHN,gadm_CHN.17.6_1,9517817.433999998,1,2025-07-31 00:00:00
CHN,ghs-fua_10331,9510958.787399998,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.6_1,9486746.4784,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.9_1,9466728.893000001,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.15_1,9464160.904600002,1,2025-07-31 00:00:00
CHN,gadm_CHN.22.10_1,9457638.410999998,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.3_1,9441893.756,1,2025-07-31 00:00:00
CHN,ghs-fua_9718,9415162.353800004,1,2025-07-31 00:00:00
KAZ,gadm_KAZ.12.10_1,9401297.781199997,1,2025-07-31 00:00:00
USA,gadm_USA.10.6_1,9280764.384800002,1,2025-07-31 00:00:00
CHN,gadm_CHN.16.1_1,9273254.988599999,1,2025-07-31 00:00:00
USA,gadm_USA.33.31_1,9217501.433799997,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.10_1,9207379.543399999,1,2025-07-31 00:00:00
ESP,gadm_ESP.6.1_1,9182209.67,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.17_1,9158292.837199999,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.8_1,9135911.929,1,2025-07-31 00:00:00
USA,ghs-fua_6630,9066008.106400002,1,2025-07-31 00:00:00
BEL,gadm_BEL.3.2_1,9059559.659799999,1,2025-07-31 00:00:00
NLD,ghs-fua_1427,9039829.0648,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.8_1,9013913.6836,1,2025-07-31 00:00:00
CHE,ghs-fua_1479,8995111.342600001,1,2025-07-31 00:00:00
CHN,ghs-fua_2293,8984988.308600001,1,2025-07-31 00:00:00
IRN,gadm_IRN.23.1_1,8969462.5456,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.9_1,8942342.6968,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.38_1,8940479.220400002,1,2025-07-31 00:00:00
CHN,gadm_CHN.28.15_1,8934058.664399998,1,2025-07-31 00:00:00
AZE,gadm_AZE.1.2_1,8915911.2674,1,2025-07-31 00:00:00
USA,gadm_USA.24.27_1,8902328.243400002,1,2025-07-31 00:00:00
USA,gadm_USA.39.51_1,8890395.951000001,1,2025-07-31 00:00:00
CHN,gadm_CHN.19.6_1,8884538.544,1,2025-07-31 00:00:00
DEU,ghs-fua_3041,8875408.760599999,1,2025-07-31 00:00:00
USA,ghs-fua_4881,8866531.826800002,1,2025-07-31 00:00:00
CHN,gadm_CHN.18.1_1,8857979.436000003,1,2025-07-31 00:00:00
ITA,gadm_ITA.5.4_1,8849338.957999999,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.2_1,8843719.979200002,1,2025-07-31 00:00:00
CHN,gadm_CHN.25.2_1,8840955.532199997,1,2025-07-31 00:00:00
DEU,gadm_DEU.6.1_1,8838413.891399996,1,2025-07-31 00:00:00
CHN,gadm_CHN.19.5_1,8834584.6596,1,2025-07-31 00:00:00
COL,gadm_COL.5.1_2,8818958.3728,1,2025-07-31 00:00:00
USA,ghs-fua_7050,8801341.1154,1,2025-07-31 00:00:00
CHN,ghs-fua_7359,8797555.081799999,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.12_1,8781551.142800001,1,2025-07-31 00:00:00
IND,ghs-fua_9099,8779284.947800005,1,2025-07-31 00:00:00
IRN,gadm_IRN.22.1_1,8774558.023600003,1,2025-07-31 00:00:00
USA,gadm_USA.31.2_1,8751944.3846,1,2025-07-31 00:00:00
RUS,gadm_RUS.66.11_1,8736408.3776,1,2025-07-31 00:00:00
CHN,gadm_CHN.4.9_1,8734084.0512,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.10_1,8707149.967200002,1,2025-07-31 00:00:00
IRL,ghs-fua_415,8704252.053800002,1,2025-07-31 00:00:00
USA,gadm_USA.33.3_1,8647408.5062,1,2025-07-31 00:00:00
CHN,gadm_CHN.8.3_1,8645252.416599998,1,2025-07-31 00:00:00
ITA,gadm_ITA.10.8_1,8564578.604800003,1,2025-07-31 00:00:00
RUS,ghs-fua_3736,8545797.531200001,1,2025-07-31 00:00:00
