iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
USA,gadm_USA.7.2_1,1687698.8057999997,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.4_1,1686771.4158000005,1,2025-07-31 00:00:00
CHN,ghs-fua_8510,1685639.8944,1,2025-07-31 00:00:00
COL,ghs-fua_4048,1677680.4828000006,1,2025-07-31 00:00:00
RUS,gadm_RUS.68.45_1,1675685.9082000002,1,2025-07-31 00:00:00
USA,gadm_USA.23.54_1,1670487.623,1,2025-07-31 00:00:00
CHN,gadm_CHN.18.4_1,1668628.9592000002,1,2025-07-31 00:00:00
USA,gadm_USA.10.28_1,1666011.2588000004,1,2025-07-31 00:00:00
DEU,gadm_DEU.7.4_1,1663803.7859999998,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.15_1,1663745.8226000003,1,2025-07-31 00:00:00
ITA,gadm_ITA.10.2_1,1660594.6786000005,1,2025-07-31 00:00:00
USA,ghs-fua_3522,1660572.6971999994,1,2025-07-31 00:00:00
FRA,gadm_FRA.1.8_1,1657947.8384000002,1,2025-07-31 00:00:00
FRA,gadm_FRA.8.5_1,1653843.8622000006,1,2025-07-31 00:00:00
DEU,ghs-fua_2988,1645243.0897999997,1,2025-07-31 00:00:00
USA,ghs-fua_6574,1644248.5261999995,1,2025-07-31 00:00:00
USA,gadm_USA.6.1_1,1643883.2256,1,2025-07-31 00:00:00
GBR,gadm_GBR.1.33_1,1642821.5209999993,1,2025-07-31 00:00:00
CHL,ghs-fua_2072,1642040.7786,1,2025-07-31 00:00:00
CAN,gadm_CAN.11.21_1,1639592.0109999997,1,2025-07-31 00:00:00
USA,ghs-fua_1980,1633664.8273999998,1,2025-07-31 00:00:00
CHN,gadm_CHN.7.11_1,1625721.068,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.8_1,1621499.5138000003,1,2025-07-31 00:00:00
KOR,ghs-fua_3211,1613274.0594000006,1,2025-07-31 00:00:00
CHN,ghs-fua_8189,1604236.7611999998,1,2025-07-31 00:00:00
USA,ghs-fua_6119,1603465.4224,1,2025-07-31 00:00:00
RUS,gadm_RUS.63.43_1,1603107.7172000003,1,2025-07-31 00:00:00
